epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.381,1.73225,3.3204,1.22486,0.02004,0.98313,0.52002,0.21246,1.80657,3.48127,1.20896,0.00015003,0.00015003,0.00015003
2,300.827,1.20471,1.6619,0.9889,0.02029,0.9966,0.59439,0.20453,1.28897,3.04806,1.07963,0.000301052,0.000301052,0.000301052
3,448.34,0.89338,1.15408,0.91983,0.0201,0.99546,0.76326,0.36979,1.21178,2.97739,1.089,0.00043557,0.00043557,0.00043557
4,594.999,0.79505,0.941,0.91531,0.01999,0.99431,0.88924,0.62296,0.89146,2.71552,1.00226,0.000553586,0.000553586,0.000553586
5,744.602,0.74189,0.8472,0.9002,0.02045,0.9966,0.88742,0.67965,0.747,2.68392,0.96469,0.000655098,0.000655098,0.000655098
6,891.195,0.84895,0.85883,0.9134,0.01993,0.98981,0.8942,0.74315,0.69645,2.6415,0.97004,0.000740106,0.000740106,0.000740106
7,1037.59,0.6954,0.75209,0.87314,1,0.23236,0.96178,0.82426,0.55761,2.10161,0.93882,0.000808612,0.000808612,0.000808612
8,1183.38,0.62991,0.70226,0.86421,1,0.655,0.96426,0.81416,0.59805,1.7496,0.94087,0.000860614,0.000860614,0.000860614
9,1331.6,0.62499,0.71174,0.85646,0.99301,0.94172,0.97168,0.79695,0.66286,1.47743,0.93704,0.000896113,0.000896113,0.000896113
10,1477.9,0.61972,0.67201,0.85585,0.99912,0.94636,0.97515,0.87253,0.52244,1.03393,0.91694,0.000915108,0.000915108,0.000915108
11,1621.59,0.58067,0.88854,0.82347,1,0.93728,0.97681,0.88205,0.45967,1.50187,0.91366,0.000841835,0.000841835,0.000841835
12,1767.89,0.49785,0.80778,0.82472,0.99396,0.96072,0.9769,0.89519,0.40537,0.70357,0.90456,0.000759318,0.000759318,0.000759318
13,1911.8,0.43695,0.65847,0.81091,0.99951,0.94856,0.976,0.89174,0.37789,0.66542,0.89285,0.000676802,0.000676802,0.000676802
14,2055.58,0.4051,0.6614,0.79778,0.99291,0.9586,0.97712,0.90329,0.37202,0.56852,0.89425,0.000594286,0.000594286,0.000594286
15,2201.28,0.39262,0.61697,0.80004,0.99661,0.95438,0.97785,0.89766,0.38744,0.49368,0.89337,0.000511769,0.000511769,0.000511769
16,2345.32,0.40759,0.60609,0.79722,0.99457,0.95664,0.97683,0.91031,0.37461,0.51603,0.89273,0.000429253,0.000429253,0.000429253
17,2489.27,0.37349,0.57836,0.8013,0.99437,0.96067,0.97661,0.91079,0.3217,0.49407,0.89046,0.000346736,0.000346736,0.000346736
18,2633.01,0.37246,0.57619,0.80055,0.99954,0.95567,0.97648,0.92426,0.28782,0.45881,0.88767,0.00026422,0.00026422,0.00026422
19,2776.46,0.34437,0.55803,0.81309,0.99965,0.95543,0.97932,0.92718,0.29113,0.44648,0.89023,0.000181703,0.000181703,0.000181703
20,2919.63,0.32961,0.54416,0.79984,0.99914,0.9553,0.97926,0.93061,0.2833,0.44783,0.88648,9.91865e-05,9.91865e-05,9.91865e-05
